0.0;322.0;1.0
0.0;291.0;2.0
0.0;280.0;3.0
0.0;2463.0;4.0
0.0;670.0;5.0
0.0;472.0;6.0
0.0;464.0;7.0
0.0;32.0;8.0
0.0;317.0;9.0
0.0;460.0;10.0
1.0;322.0;1.0
1.0;20.0;2.0
1.0;4.0;3.0
1.0;52.0;4.0
1.0;34.0;5.0
1.0;7.0;6.0
1.0;2463.0;7.0
1.0;3.0;8.0
1.0;291.0;9.0
1.0;1353.0;10.0
2.0;322.0;1.0
2.0;20.0;2.0
2.0;4.0;3.0
2.0;11.0;4.0
2.0;34.0;5.0
2.0;7.0;6.0
2.0;195.0;7.0
2.0;3.0;8.0
2.0;291.0;9.0
2.0;323.0;10.0
3.0;233.0;1.0
3.0;20.0;2.0
3.0;4.0;3.0
3.0;2463.0;4.0
3.0;26.0;5.0
3.0;219.0;6.0
3.0;22.0;7.0
3.0;7.0;8.0
3.0;670.0;9.0
3.0;478.0;10.0
4.0;20.0;1.0
4.0;34.0;2.0
4.0;219.0;3.0
4.0;26.0;4.0
4.0;3.0;5.0
4.0;28.0;6.0
4.0;18.0;7.0
4.0;31.0;8.0
4.0;670.0;9.0
4.0;171.0;10.0
5.0;219.0;1.0
5.0;85.0;2.0
5.0;70.0;3.0
5.0;103.0;4.0
5.0;15.0;5.0
5.0;76.0;6.0
5.0;29.0;7.0
5.0;171.0;8.0
5.0;198.0;9.0
5.0;757.0;10.0
