1.0;895.0;1.0
1.0;224.0;2.0
1.0;615.0;3.0
1.0;1936.0;4.0
1.0;792.0;5.0
1.0;658.0;6.0
1.0;507.0;7.0
1.0;46.0;8.0
1.0;277.0;9.0
1.0;510.0;10.0
2.0;314.0;1.0
2.0;1936.0;2.0
2.0;3187.0;3.0
2.0;3630.0;4.0
2.0;615.0;5.0
2.0;418.0;6.0
2.0;277.0;7.0
2.0;257.0;8.0
2.0;3846.0;9.0
2.0;4342.0;10.0
3.0;4788.0;1.0
3.0;2222.0;2.0
3.0;4128.0;3.0
3.0;7351.0;4.0
3.0;4418.0;5.0
3.0;1500.0;6.0
3.0;897.0;7.0
3.0;3846.0;8.0
3.0;2075.0;9.0
3.0;5897.0;10.0
4.0;314.0;1.0
4.0;658.0;2.0
4.0;510.0;3.0
4.0;1731.0;4.0
4.0;520.0;5.0
4.0;6689.0;6.0
4.0;826.0;7.0
4.0;4897.0;8.0
4.0;4418.0;9.0
4.0;43.0;10.0
